A0A075B5I0	ENSMUSG00000090765
F6WIE4	ENSMUSG00000073682
F6WLE9	ENSMUSG00000090690
F6WLJ2	ENSMUSG00000068181
F6WTR5	ENSMUSG00000079546
F6WY25	ENSMUSG00000069518
F6WYC8	ENSMUSG00000079342
F6WYW0	ENSMUSG00000095232
F6X687	ENSMUSG00000095829
F6X9U9	ENSMUSG00000079175
F6XDR3	ENSMUSG00000073572
F6XET4	ENSMUSG00000090889
F6XGJ4	ENSMUSG00000091429
F6XJP7	ENSMUSG00000030513
F6XK35	ENSMUSG00000095316
F6XLV1	ENSMUSG00000084989
F6XP16	ENSMUSG00000057735
F6XVH0	ENSMUSG00000055198
F6XVS9	ENSMUSG00000094105
F6XZJ7	ENSMUSG00000090812
F6Y113	ENSMUSG00000079644
F6Y3H4	ENSMUSG00000091441
F6Y577	ENSMUSG00000066378
F6Y7E7	ENSMUSG00000092123
F6YAE0	ENSMUSG00000079039
F6YCR7	ENSMUSG00000050197
F6YG85	ENSMUSG00000079416
F6YHC1	ENSMUSG00000092142
F6YJZ8	ENSMUSG00000091903
F6YK91	ENSMUSG00000078487
F6YKY3	ENSMUSG00000092148
F6YL37	ENSMUSG00000078620
F6YNI8	ENSMUSG00000095724
F6YQT7	ENSMUSG00000032948
F6YU13	ENSMUSG00000095113
F6YUL9	ENSMUSG00000079024
F6YUX7	ENSMUSG00000050766
F6YVP7	ENSMUSG00000069117
F6Z0L5	ENSMUSG00000090408
F6Z5I4	ENSMUSG00000078604
F6Z6Z2	ENSMUSG00000086815
F6Z9B9	ENSMUSG00000091813
F6ZAP6	ENSMUSG00000094349
F6ZAP6	ENSMUSG00000095466
F6ZDS4	ENSMUSG00000006005
F6ZE64	ENSMUSG00000048814
F6ZE74	ENSMUSG00000079016
F6ZF64	ENSMUSG00000092004
F6ZF91	ENSMUSG00000079333
F6ZGD5	ENSMUSG00000078953
F6ZH14	ENSMUSG00000079740
F6ZIG1	ENSMUSG00000091140
F6ZIS7	ENSMUSG00000049404
F6ZL36	ENSMUSG00000091306
F6ZMY5	ENSMUSG00000094543
F6ZNL5	ENSMUSG00000034755
F6ZPB0	ENSMUSG00000096549
F6ZR08	ENSMUSG00000082976
F6ZRA6	ENSMUSG00000079438
F6ZRP0	ENSMUSG00000079010
F6ZS36	ENSMUSG00000079009
F6ZUS0	ENSMUSG00000074996
F6ZVF2	ENSMUSG00000058932
F7A1G1	ENSMUSG00000079439
F7A1V1	ENSMUSG00000079433
F7A3L5	ENSMUSG00000091159
F7A4A7	ENSMUSG00000091455
F7A6P6	ENSMUSG00000059852
F7A7Y6	ENSMUSG00000094036
F7AEC7	ENSMUSG00000091110
F7AG78	ENSMUSG00000078590
F7AIG4	ENSMUSG00000091347
F7AKR5	ENSMUSG00000092157
F7AMQ8	ENSMUSG00000090747
F7ANP4	ENSMUSG00000091718
F7AXR3	ENSMUSG00000095743
F7BAB2	ENSMUSG00000070498
F7BAX1	ENSMUSG00000093863
F7BAX1	ENSMUSG00000093926
F7BGH6	ENSMUSG00000091604
F7BJB9	ENSMUSG00000039456
F7BL62	ENSMUSG00000101480
F7BLD2	ENSMUSG00000067627
F7BTS7	ENSMUSG00000094925
F7BTU1	ENSMUSG00000091195
F7BWT7	ENSMUSG00000037031
F7BY56	ENSMUSG00000096372
F7C7Q0	ENSMUSG00000075015
F7C7U2	ENSMUSG00000075006
F7C950	ENSMUSG00000090588
F7C9A1	ENSMUSG00000090594
F7C9P2	ENSMUSG00000094992
F7CD45	ENSMUSG00000079374
F7CFJ3	ENSMUSG00000091569
F7CNM6	ENSMUSG00000044854
F7CV60	ENSMUSG00000079353
F7CVU0	ENSMUSG00000092047
F7CWA7	ENSMUSG00000078895
F7CWV4	ENSMUSG00000062042
F7CXU4	ENSMUSG00000037334
F7CYK6	ENSMUSG00000078488
F7CZ33	ENSMUSG00000069584
F7D043	ENSMUSG00000074837
F7D3Z4	ENSMUSG00000078481
F7D8Y4	ENSMUSG00000090740
F7DEP7	ENSMUSG00000071586
F8VPJ6	ENSMUSG00000037674
F8VPJ8	ENSMUSG00000047535
F8VPJ9	ENSMUSG00000042219
F8VPK0	ENSMUSG00000033991
F8VPK8	ENSMUSG00000055421
F8VPN2	ENSMUSG00000009628
F8VPN4	ENSMUSG00000033400
F8VPP0	ENSMUSG00000058883
F8VPP8	ENSMUSG00000022390
F8VPQ2	ENSMUSG00000048118
F8VPQ6	ENSMUSG00000079440
F8VPT3	ENSMUSG00000026354
F8VPU2	ENSMUSG00000025555
F8VPU6	ENSMUSG00000069044
F8VPX2	ENSMUSG00000008167
F8VPX6	ENSMUSG00000073119
F8VPY8	ENSMUSG00000079559
F8VPZ3	ENSMUSG00000000804
F8VPZ5	ENSMUSG00000054051
F8VPZ8	ENSMUSG00000063615
F8VPZ9	ENSMUSG00000070808
F8VQ01	ENSMUSG00000058200
F8VQ03	ENSMUSG00000031553
F8VQ05	ENSMUSG00000070733
F8VQ07	ENSMUSG00000070690
F8VQ18	ENSMUSG00000045824
F8VQ26	ENSMUSG00000073953
F8VQ29	ENSMUSG00000028068
F8VQ39	ENSMUSG00000066510
F8VQ63	ENSMUSG00000115267
F8VQ70	ENSMUSG00000034007
F8VQ84	ENSMUSG00000060688
F8VQ94	ENSMUSG00000089942
F8VQB1	ENSMUSG00000066672
F8VQB6	ENSMUSG00000022272
F8VQB9	ENSMUSG00000048080
F8VQC1	ENSMUSG00000036323
F8VQD3	ENSMUSG00000066828
F8VQG4	ENSMUSG00000053835
F8VQG7	ENSMUSG00000037795
F8VQH7	ENSMUSG00000045608
F8VQI7	ENSMUSG00000045780
F8VQJ0	ENSMUSG00000074433
F8VQK3	ENSMUSG00000041624
F8VQM2	ENSMUSG00000070464
F8VQM5	ENSMUSG00000027790
F8VQN3	ENSMUSG00000071311
F8WGU9	ENSMUSG00000028712
G3UVV3	ENSMUSG00000048410
G3UVW3	ENSMUSG00000044712
G3UW31	ENSMUSG00000096859
G3UW32	ENSMUSG00000091080
G3UW36	ENSMUSG00000090336
G3UW50	ENSMUSG00000056459
G3UW52	ENSMUSG00000091863
G3UW55	ENSMUSG00000087075
G3UW56	ENSMUSG00000092048
G3UW59	ENSMUSG00000086228
G3UW60	ENSMUSG00000086596
G3UW63	ENSMUSG00000086022
G3UW68	ENSMUSG00000092109
G3UW71	ENSMUSG00000090715
G3UW78	ENSMUSG00000091586
G3UW81	ENSMUSG00000090700
G3UW82	ENSMUSG00000033196
G3UW87	ENSMUSG00000090439
G3UW88	ENSMUSG00000091497
G3UW99	ENSMUSG00000090840
G3UWA2	ENSMUSG00000091468
G3UWA7	ENSMUSG00000091297
G3UWA8	ENSMUSG00000029917
G3UWB8	ENSMUSG00000091175
G3UWC3	ENSMUSG00000090550
G3UWD5	ENSMUSG00000091636
G3UWD9	ENSMUSG00000036083
G3UWE2	ENSMUSG00000090942
G3UWE6	ENSMUSG00000093755
G3UWF2	ENSMUSG00000091129
G3UWI8	ENSMUSG00000091638
G3UXB3	ENSMUSG00000029112
G3UXC7	ENSMUSG00000070469
G3UXD1	ENSMUSG00000073208
G3UXE9	ENSMUSG00000073402
G3UXG0	ENSMUSG00000092244
G3UXK4	ENSMUSG00000092609
G3UXL2	ENSMUSG00000079104
G3UXT0	ENSMUSG00000081225
G3UY09	ENSMUSG00000092416
G3UY31	ENSMUSG00000095550
G3UY48	ENSMUSG00000094284
G3UY53	ENSMUSG00000092225
G3UY57	ENSMUSG00000050747
G3UY92	ENSMUSG00000094700
G3UYA8	ENSMUSG00000095773
G3UYB0	ENSMUSG00000092233
G3UYD9	ENSMUSG00000092216
G3UYI6	ENSMUSG00000092210
G3UYQ4	ENSMUSG00000091415
G3UYU0	ENSMUSG00000074480
G3UYX5	ENSMUSG00000037627
G3UYY4	ENSMUSG00000046782
G3UZ38	ENSMUSG00000082932
G3UZ45	ENSMUSG00000092277
G3UZ78	ENSMUSG00000050994
G3UZD8	ENSMUSG00000092322
G3UZN6	ENSMUSG00000090121
G3UZV2	ENSMUSG00000037849
G3X8Q1	ENSMUSG00000020196
G3X8R7	ENSMUSG00000052763
G3X8R9	ENSMUSG00000074344
G3X8U2	ENSMUSG00000021545
G3X8U3	ENSMUSG00000021550
G3X8W1	ENSMUSG00000022603
G3X8X0	ENSMUSG00000024422
G3X8Y1	ENSMUSG00000060913
G3X8Y2	ENSMUSG00000027713
G3X8Z7	ENSMUSG00000029205
G3X904	ENSMUSG00000031365
G3X912	ENSMUSG00000031986
G3X931	ENSMUSG00000066372
G3X939	ENSMUSG00000036123
G3X941	ENSMUSG00000030823
G3X942	ENSMUSG00000033316
G3X943	ENSMUSG00000072572
G3X946	ENSMUSG00000051081
G3X952	ENSMUSG00000030757
G3X964	ENSMUSG00000060301
G3X972	ENSMUSG00000039367
G3X982	ENSMUSG00000064294
G3X987	ENSMUSG00000051124
G3X992	ENSMUSG00000047669
G3X996	ENSMUSG00000058192
G3X9A2	ENSMUSG00000050239
G3X9B1	ENSMUSG00000050244
G3X9B4	ENSMUSG00000049357
G3X9C2	ENSMUSG00000047586
G3X9D6	ENSMUSG00000051716
G3X9F6	ENSMUSG00000036553
G3X9G7	ENSMUSG00000057982
G3X9G9	ENSMUSG00000058057
G3X9H3	ENSMUSG00000057093
G3X9I0	ENSMUSG00000057895
G3X9I7	ENSMUSG00000035045
G3X9J0	ENSMUSG00000030583
G3X9K3	ENSMUSG00000067851
G3X9K7	ENSMUSG00000050014
G3X9L8	ENSMUSG00000068816
G3X9M9	ENSMUSG00000029452
G3X9N3	ENSMUSG00000070802
G3X9N5	ENSMUSG00000040258
G3X9P6	ENSMUSG00000074366
G3X9P9	ENSMUSG00000057116
G3X9Q9	ENSMUSG00000091698
G3X9R7	ENSMUSG00000078179
G3X9T1	ENSMUSG00000012640
G3X9T2	ENSMUSG00000068959
G3X9U1	ENSMUSG00000041583
G3X9U3	ENSMUSG00000078808
G3X9V8	ENSMUSG00000044594
G3X9X1	ENSMUSG00000059486
G3X9Y6	ENSMUSG00000071551
G3X9Z2	ENSMUSG00000065968
G3X9Z4	ENSMUSG00000041328
G3XA03	ENSMUSG00000069355
G3XA12	ENSMUSG00000050526
G3XA20	ENSMUSG00000030098
G3XA23	ENSMUSG00000040340
G3XA30	ENSMUSG00000040331
G3XA45	ENSMUSG00000091006
G3XA50	ENSMUSG00000090291
G3XA52	ENSMUSG00000091012
G3XA57	ENSMUSG00000040022
G3XA59	ENSMUSG00000090958
G5E829	ENSMUSG00000019943
G5E845	ENSMUSG00000023387
G5E851	ENSMUSG00000024729
G5E861	ENSMUSG00000059834
G5E869	ENSMUSG00000026135
G5E870	ENSMUSG00000026219
G5E872	ENSMUSG00000026269
G5E893	ENSMUSG00000034647
G5E895	ENSMUSG00000061758
G5E897	ENSMUSG00000034487
G5E8A8	ENSMUSG00000039179
G5E8B9	ENSMUSG00000022601
G5E8C1	ENSMUSG00000046716
G5E8C2	ENSMUSG00000043881
G5E8D7	ENSMUSG00000055933
G5E8F4	ENSMUSG00000053870
G5E8G1	ENSMUSG00000057981
G5E8G2	ENSMUSG00000057321
G5E8G3	ENSMUSG00000062257
G5E8G4	ENSMUSG00000091260
G5E8H5	ENSMUSG00000031481
G5E8H9	ENSMUSG00000054052
G5E8I3	ENSMUSG00000064259
G5E8I7	ENSMUSG00000058976
G5E8J1	ENSMUSG00000060480
G5E8J6	ENSMUSG00000038239
G5E8K1	ENSMUSG00000009114
G5E8K5	ENSMUSG00000069601
G5E8K6	ENSMUSG00000045775
G5E8L3	ENSMUSG00000068299
G5E8L7	ENSMUSG00000068600
G5E8L9	ENSMUSG00000071890
G5E8P0	ENSMUSG00000051786
G5E8Q8	ENSMUSG00000056492
G5E8S3	ENSMUSG00000044719
G5E8V9	ENSMUSG00000074513
G5E8W5	ENSMUSG00000091411
G5E8X2	ENSMUSG00000090919
G5E8X6	ENSMUSG00000090622
G5E8X8	ENSMUSG00000066463
G5E8Y4	ENSMUSG00000092162
G5E8Z3	ENSMUSG00000090314
G5E8Z7	ENSMUSG00000090436
G5E904	ENSMUSG00000090298
G5E905	ENSMUSG00000024298
G8JL69	ENSMUSG00000078984
H3BJ46	ENSMUSG00000114982
H3BJ88	ENSMUSG00000091572
H3BJD6	ENSMUSG00000032827
H3BJG9	ENSMUSG00000093626
H3BJZ2	ENSMUSG00000032595
H3BK29	ENSMUSG00000090581
H3BK37	ENSMUSG00000090304
H3BKP8	ENSMUSG00000046138
H3BKQ3	ENSMUSG00000011832
H3BKT1	ENSMUSG00000093639
H3BKT1	ENSMUSG00000118553
H3BKW5	ENSMUSG00000115404
H3BLB0	ENSMUSG00000086147
H3BLP0	ENSMUSG00000115668
H7BX60	ENSMUSG00000024174
H7BX78	ENSMUSG00000075040
I3ITR1	ENSMUSG00000078139
I6L890	ENSMUSG00000067882
I6XKQ3	ENSMUSG00000074812
I7HIK1	ENSMUSG00000094637
I7HJI3	ENSMUSG00000069248
I7HJI5	ENSMUSG00000021404
I7HJS2	ENSMUSG00000009995
I7HJS4	ENSMUSG00000049410
I7HPW8	ENSMUSG00000034427
J3JS27	ENSMUSG00000069297
J3KMI0	ENSMUSG00000101053
J3KMI7	ENSMUSG00000095172
J3KMI7	ENSMUSG00000094838
J3KMI9	ENSMUSG00000079806
J3KMK8	ENSMUSG00000074593
J3KML0	ENSMUSG00000078552
J3KML6	ENSMUSG00000096686
J3KML8	ENSMUSG00000095276
J3KML9	ENSMUSG00000094507
J3KMM7	ENSMUSG00000096094
J3KMP5	ENSMUSG00000094472
J3KMP7	ENSMUSG00000094146
J3KMP8	ENSMUSG00000095470
J3KMP9	ENSMUSG00000096872
J3KMR8	ENSMUSG00000096736
J3KMS0	ENSMUSG00000045699
J3KMS6	ENSMUSG00000095653
J3KMT2	ENSMUSG00000091122
J3KMT3	ENSMUSG00000109516
J3KMU2	ENSMUSG00000095693
J3KMU4	ENSMUSG00000095993
J3KMV2	ENSMUSG00000095194
J3QJU4	ENSMUSG00000094962
J3QJU9	ENSMUSG00000096597
J3QJV4	ENSMUSG00000095970
J3QJV5	ENSMUSG00000095346
J3QJX6	ENSMUSG00000096607
J3QJY3	ENSMUSG00000096887
J3QJY4	ENSMUSG00000095257
J3QK00	ENSMUSG00000096175
J3QK03	ENSMUSG00000096407
J3QK24	ENSMUSG00000092165
J3QK25	ENSMUSG00000094127
J3QK27	ENSMUSG00000094511
J3QK38	ENSMUSG00000094484
J3QK38	ENSMUSG00000094081
J3QK46	ENSMUSG00000095407
J3QK54	ENSMUSG00000095440
J3QK55	ENSMUSG00000074829
J3QK56	ENSMUSG00000087279
J3QK59	ENSMUSG00000096283
J3QK64	ENSMUSG00000096421
J3QK78	ENSMUSG00000095074
J3QM38	ENSMUSG00000096433
J3QM56	ENSMUSG00000091740
J3QM67	ENSMUSG00000095324
J3QM72	ENSMUSG00000095242
J3QM75	ENSMUSG00000096467
J3QM76	ENSMUSG00000094445
J3QM92	ENSMUSG00000095654
J3QMB3	ENSMUSG00000096537
J3QMC7	ENSMUSG00000094018
J3QMD1	ENSMUSG00000096380
J3QME2	ENSMUSG00000096268
J3QMG8	ENSMUSG00000095643
J3QMG8	ENSMUSG00000096038
J3QMH4	ENSMUSG00000093883
J3QMI4	ENSMUSG00000094219
J3QMJ3	ENSMUSG00000096240
J3QMJ4	ENSMUSG00000096546
J3QMJ9	ENSMUSG00000096120
J3QMK1	ENSMUSG00000094443
J3QMK2	ENSMUSG00000084957
J3QMK6	ENSMUSG00000037263
J3QMK7	ENSMUSG00000094679
J3QML3	ENSMUSG00000094391
J3QML9	ENSMUSG00000097327
J3QMM8	ENSMUSG00000094043
J3QMM8	ENSMUSG00000096230
J3QMN2	ENSMUSG00000094958
J3QMN6	ENSMUSG00000095576
J3QMQ1	ENSMUSG00000094168
J3QMQ6	ENSMUSG00000095026
J3QMQ9	ENSMUSG00000095148
J3QMS2	ENSMUSG00000051054
J3QMS5	ENSMUSG00000096194
J3QMS7	ENSMUSG00000096700
J3QMS8	ENSMUSG00000095557
J3QMS9	ENSMUSG00000095061
J3QMU9	ENSMUSG00000094462
J3QMW1	ENSMUSG00000095721
J3QMW5	ENSMUSG00000096049
J3QMW9	ENSMUSG00000096915
J3QMY9	ENSMUSG00000071691
J3QMZ0	ENSMUSG00000094319
J3QN01	ENSMUSG00000094584
J3QN05	ENSMUSG00000095330
J3QN14	ENSMUSG00000069476
J3QN17	ENSMUSG00000093927
J3QN49	ENSMUSG00000093957
J3QN50	ENSMUSG00000096385
J3QN52	ENSMUSG00000096044
J3QN64	ENSMUSG00000118402
J3QN84	ENSMUSG00000094773
J3QN86	ENSMUSG00000094354
J3QN89	ENSMUSG00000006299
J3QN98	ENSMUSG00000090716
J3QNA6	ENSMUSG00000095296
J3QNB2	ENSMUSG00000094112
J3QNB5	ENSMUSG00000094939
J3QNB5	ENSMUSG00000094911
J3QNB7	ENSMUSG00000096753
J3QNE4	ENSMUSG00000035539
J3QNG1	ENSMUSG00000096344
J3QNG9	ENSMUSG00000096732
J3QNH8	ENSMUSG00000102752
J3QNM7	ENSMUSG00000096486
J3QNN2	ENSMUSG00000096330
J3QNN4	ENSMUSG00000096140
J3QNN6	ENSMUSG00000094174
J3QNP2	ENSMUSG00000094500
J3QNP9	ENSMUSG00000096393
J3QNQ5	ENSMUSG00000096426
J3QNR8	ENSMUSG00000090215
J3QNS5	ENSMUSG00000096687
J3QNT6	ENSMUSG00000093847
J3QNT8	ENSMUSG00000096035
J3QNU5	ENSMUSG00000094296
J3QNV7	ENSMUSG00000096083
J3QNW5	ENSMUSG00000096885
J3QNX5	ENSMUSG00000096883
J3QNX6	ENSMUSG00000095992
J3QNY8	ENSMUSG00000094429
J3QNZ6	ENSMUSG00000096223
J3QNZ9	ENSMUSG00000094262
J3QP01	ENSMUSG00000094719
J3QP08	ENSMUSG00000100448
J3QP15	ENSMUSG00000095870
J3QP37	ENSMUSG00000096215
J3QP49	ENSMUSG00000095452
J3QP53	ENSMUSG00000094504
J3QP60	ENSMUSG00000095493
J3QP72	ENSMUSG00000095280
J3QP74	ENSMUSG00000096201
J3QP87	ENSMUSG00000096619
J3QPC1	ENSMUSG00000094430
J3QPC3	ENSMUSG00000078786
J3QPC5	ENSMUSG00000096916
J3QPE5	ENSMUSG00000096621
J3QPF7	ENSMUSG00000095240
J3QPG7	ENSMUSG00000094487
J3QPH3	ENSMUSG00000096259
J3QPI0	ENSMUSG00000095522
J3QPI8	ENSMUSG00000096803
J3QPJ2	ENSMUSG00000094556
J3QPJ5	ENSMUSG00000094404
J3QPJ9	ENSMUSG00000096519
J3QPK1	ENSMUSG00000094030
J3QPK8	ENSMUSG00000094052
J3QPM5	ENSMUSG00000094590
J3QPM6	ENSMUSG00000094910
J3QPM7	ENSMUSG00000094204
J3QPP8	ENSMUSG00000087247
J3QPQ6	ENSMUSG00000116166
J3QPR6	ENSMUSG00000094311
J3QPU0	ENSMUSG00000095754
J3QPU5	ENSMUSG00000096257
J3QPV5	ENSMUSG00000094227
J3QPV5	ENSMUSG00000095927
J3QPW6	ENSMUSG00000094928
J3QPX0	ENSMUSG00000073197
J3QPY3	ENSMUSG00000096316
J3QPZ4	ENSMUSG00000095520
J3QPZ4	ENSMUSG00000095508
J3QPZ5	ENSMUSG00000094282
J3QQ02	ENSMUSG00000095717
J3QQ10	ENSMUSG00000094649
J3QQ14	ENSMUSG00000094893
J3QQ23	ENSMUSG00000095032
J3QQ27	ENSMUSG00000022701
J3QQ32	ENSMUSG00000094613
J3S6Y1	ENSMUSG00000069581
J9JI72	ENSMUSG00000073130
J9S314	ENSMUSG00000052387
K7N5P2	ENSMUSG00000041505
K7N5P3	ENSMUSG00000039962
K7N5T5	ENSMUSG00000064006
K7N5U4	ENSMUSG00000098505
K7N5V5	ENSMUSG00000067700
K7N5W1	ENSMUSG00000070847
K7N5X7	ENSMUSG00000096254
K7N608	ENSMUSG00000061602
K7N609	ENSMUSG00000096584
K7N621	ENSMUSG00000067010
K7N641	ENSMUSG00000064223
K7N645	ENSMUSG00000066239
K7N659	ENSMUSG00000067526
K7N660	ENSMUSG00000067698
K7N662	ENSMUSG00000069390
K7N665	ENSMUSG00000094157
K7N674	ENSMUSG00000095093
K7N678	ENSMUSG00000093901
K7N684	ENSMUSG00000073769
K7N686	ENSMUSG00000096743
K7N688	ENSMUSG00000071428
K7N692	ENSMUSG00000094706
K7N693	ENSMUSG00000072739
K7N693	ENSMUSG00000090364
K7N6A0	ENSMUSG00000072188
K7N6B1	ENSMUSG00000094520
K7N6B2	ENSMUSG00000096516
K7N6B3	ENSMUSG00000073945
K7N6B6	ENSMUSG00000074291
K7N6B7	ENSMUSG00000096871
K7N6B7	ENSMUSG00000094762
K7N6B8	ENSMUSG00000096348
K7N6B8	ENSMUSG00000096164
K7N6C2	ENSMUSG00000074882
K7N6G6	ENSMUSG00000072738
K7N6H3	ENSMUSG00000074865
K7N6J2	ENSMUSG00000093917
K7N6J2	ENSMUSG00000095806
K7N6J4	ENSMUSG00000094680
K7N6J5	ENSMUSG00000093890
K7N6J6	ENSMUSG00000093986
K7N6K7	ENSMUSG00000074677
K7N6K9	ENSMUSG00000078799
K7N6P1	ENSMUSG00000079627
K7N6S8	ENSMUSG00000091255
K7N6T2	ENSMUSG00000095664
K7N6T7	ENSMUSG00000079410
K7N6T8	ENSMUSG00000091148
K7N6T8	ENSMUSG00000091700
K7N6T9	ENSMUSG00000095632
K7N6U0	ENSMUSG00000095273
K7N6U2	ENSMUSG00000096470
K7N6U2	ENSMUSG00000096023
K7N6U5	ENSMUSG00000091962
K7N6U8	ENSMUSG00000091733
K7N6V0	ENSMUSG00000079371
K7N6V1	ENSMUSG00000091407
K7N6V2	ENSMUSG00000090383
K7N6V4	ENSMUSG00000096685
K7N6V7	ENSMUSG00000096169
K7N6W5	ENSMUSG00000091897
K7N6W9	ENSMUSG00000094187
K7N6X2	ENSMUSG00000096904
K7N6X3	ENSMUSG00000094011
K7N6X7	ENSMUSG00000096663
K7N6X9	ENSMUSG00000091882
K7N6Y2	ENSMUSG00000093898
K7N6Y3	ENSMUSG00000091435
K7N6Y5	ENSMUSG00000094954
K7N6Y6	ENSMUSG00000090404
K7N6Y7	ENSMUSG00000093820
K7N6Y8	ENSMUSG00000090547
K7N6Z0	ENSMUSG00000092152
K7N6Z2	ENSMUSG00000091491
K7N6Z8	ENSMUSG00000091624
K7N701	ENSMUSG00000095931
K7N702	ENSMUSG00000090806
K7N705	ENSMUSG00000096691
K7N708	ENSMUSG00000071613
K7N709	ENSMUSG00000096294
K7N712	ENSMUSG00000091926
K7N721	ENSMUSG00000091275
K7N724	ENSMUSG00000090643
K7N726	ENSMUSG00000094001
K7N727	ENSMUSG00000094295
K7N731	ENSMUSG00000091652
K7N734	ENSMUSG00000091563
K7N741	ENSMUSG00000091651
K7N743	ENSMUSG00000091227
K7N744	ENSMUSG00000096446
K7N746	ENSMUSG00000090487
K7N747	ENSMUSG00000090572
K7N749	ENSMUSG00000090379
K7N751	ENSMUSG00000092167
K7N754	ENSMUSG00000091114
K7N757	ENSMUSG00000090691
K7N760	ENSMUSG00000095056
K7N769	ENSMUSG00000074832
K7N775	ENSMUSG00000115792
K7N778	ENSMUSG00000115253
K7N784	ENSMUSG00000092049
K7N788	ENSMUSG00000068999
K7N789	ENSMUSG00000094396
K7N7D7	ENSMUSG00000095710
K9J6X0	ENSMUSG00000108534
K9J724	ENSMUSG00000065956
K9J724	ENSMUSG00000094662
K9J725	ENSMUSG00000094200
K9J7B2	ENSMUSG00000090145
K9J7D1	ENSMUSG00000072814
K9J7D1	ENSMUSG00000072821
K9J7E2	ENSMUSG00000094314
K9J7E2	ENSMUSG00000096640
K9J7F4	ENSMUSG00000095191
K9J7F4	ENSMUSG00000096601
K9J7G0	ENSMUSG00000094934
K9J7G0	ENSMUSG00000095064
K9J7G2	ENSMUSG00000094981
K9J7G2	ENSMUSG00000094298
K9J7G4	ENSMUSG00000094149
K9J7G4	ENSMUSG00000094757
K9J7G6	ENSMUSG00000093871
K9J7G6	ENSMUSG00000095745
K9J7G9	ENSMUSG00000096761
K9J7G9	ENSMUSG00000094748
K9J7H2	ENSMUSG00000095837
K9J7H2	ENSMUSG00000095984
L0N7N1	ENSMUSG00000041498
L7MTS5	ENSMUSG00000070890
L7MTT1	ENSMUSG00000070852
L7MTT3	ENSMUSG00000057761
L7MTU6	ENSMUSG00000100079
L7MTV4	ENSMUSG00000096705
L7MTX3	ENSMUSG00000059690
L7MTY4	ENSMUSG00000064044
L7MU04	ENSMUSG00000061065
L7MU37	ENSMUSG00000071769
L7MU51	ENSMUSG00000075079
L7MU53	ENSMUSG00000075102
L7MU54	ENSMUSG00000075105
L7MU57	ENSMUSG00000075146
L7MU59	ENSMUSG00000075192
L7MU75	ENSMUSG00000043698
L7MU81	ENSMUSG00000094273
L7MU83	ENSMUSG00000094876
L7MU96	ENSMUSG00000078508
L7MUB4	ENSMUSG00000079432
L7MUB9	ENSMUSG00000079629
L7MUF1	ENSMUSG00000080725
L7N1W8	ENSMUSG00000000606
L7N1X2	ENSMUSG00000091635
L7N1X3	ENSMUSG00000095706
L7N1X4	ENSMUSG00000055341
L7N1X5	ENSMUSG00000096794
L7N1X6	ENSMUSG00000074060
L7N1X7	ENSMUSG00000094692
L7N1X9	ENSMUSG00000096445
L7N1Y0	ENSMUSG00000041144
L7N1Y2	ENSMUSG00000094285
L7N1Y3	ENSMUSG00000066027
L7N1Y4	ENSMUSG00000059874
L7N1Y5	ENSMUSG00000095765
L7N1Y6	ENSMUSG00000096356
L7N1Y8	ENSMUSG00000063020
L7N1Z1	ENSMUSG00000095286
L7N1Z3	ENSMUSG00000115744
L7N1Z4	ENSMUSG00000096373
L7N1Z5	ENSMUSG00000094588
L7N1Z8	ENSMUSG00000094539
L7N1Z9	ENSMUSG00000079698
L7N203	ENSMUSG00000066820
L7N205	ENSMUSG00000068182
L7N208	ENSMUSG00000095909
L7N210	ENSMUSG00000096427
L7N213	ENSMUSG00000070816
L7N215	ENSMUSG00000058685
L7N216	ENSMUSG00000070933
L7N217	ENSMUSG00000090688
L7N218	ENSMUSG00000093968
L7N219	ENSMUSG00000095024
L7N221	ENSMUSG00000094921
L7N222	ENSMUSG00000089873
L7N224	ENSMUSG00000073952
L7N226	ENSMUSG00000094085
L7N227	ENSMUSG00000095309
L7N228	ENSMUSG00000096463
L7N229	ENSMUSG00000089696
L7N231	ENSMUSG00000074441
L7N232	ENSMUSG00000096910
L7N234	ENSMUSG00000095371
L7N239	ENSMUSG00000073028
L7N244	ENSMUSG00000078747
L7N245	ENSMUSG00000074377
L7N248	ENSMUSG00000090744
L7N257	ENSMUSG00000079594
L7N259	ENSMUSG00000057417
L7N264	ENSMUSG00000084927
L7N267	ENSMUSG00000096696
L7N269	ENSMUSG00000066537
L7N270	ENSMUSG00000094385
L7N271	ENSMUSG00000093833
L7N273	ENSMUSG00000094589
L7N275	ENSMUSG00000094602
L7N277	ENSMUSG00000092166
L7N279	ENSMUSG00000095961
L7N280	ENSMUSG00000094856
L7N285	ENSMUSG00000091022
L7N288	ENSMUSG00000093853
L7N291	ENSMUSG00000091933
L7N292	ENSMUSG00000091792
L7N293	ENSMUSG00000096903
L7N296	ENSMUSG00000091472
L7N298	ENSMUSG00000090512
L7N2A0	ENSMUSG00000091375
L7N2A3	ENSMUSG00000092036
L7N2A4	ENSMUSG00000091350
L7N2A6	ENSMUSG00000095973
L7N2A7	ENSMUSG00000091400
L7N2A9	ENSMUSG00000091676
L7N2B0	ENSMUSG00000091725
L7N2B1	ENSMUSG00000094145
L7N2B2	ENSMUSG00000091930
L7N2B3	ENSMUSG00000096861
L7N2B4	ENSMUSG00000095758
L7N2B5	ENSMUSG00000090662
