c100000_g1	6055.m.41809
c104752_g5	6055.m.81827
c104752_g6	6055.m.81831
c104753_g1	6055.m.81838
c104753_g2	6055.m.81834
c104754_g1	6055.m.81840
c104755_g2	6055.m.81861
c104756_g1	6055.m.81877
c104756_g2	6055.m.81884
c104757_g1	6055.m.81886
c104757_g2	6055.m.81890
c104757_g3	6055.m.81893
c104757_g4	6055.m.81899
c104757_g5	6055.m.81903
c104758_g1	6055.m.81915
c104758_g3	6055.m.81921
c104759_g1	6055.m.81945
c104759_g2	6055.m.81933
c104761_g1	6055.m.81951
c104761_g2	6055.m.81954
c104762_g1	6055.m.81959
c104763_g1	6055.m.81963
c104764_g1	6055.m.81976
c104765_g2	6055.m.81980
c104765_g3	6055.m.81996
c104766_g1	6055.m.82001
c104767_g1	6055.m.82004
c104767_g2	6055.m.82015
c104767_g4	6055.m.82016
c104768_g1	6055.m.82022
c104768_g2	6055.m.82027
c104769_g2	6055.m.82033
c104769_g3	6055.m.82039
c104770_g1	6055.m.82044
c104770_g2	6055.m.82045
c104770_g3	6055.m.82047
c104770_g4	6055.m.82065
c104771_g1	6055.m.82072
c104771_g2	6055.m.82083
c104771_g3	6055.m.82089
c104772_g1	6055.m.82091
c104772_g10	6055.m.82120
c104772_g3	6055.m.82095
c104772_g4	6055.m.82099
c104772_g5	6055.m.82096
c104772_g6	6055.m.82103
c104772_g7	6055.m.82109
c104772_g8	6055.m.82113
c104772_g9	6055.m.82116
c104773_g1	6055.m.82126
c104773_g2	6055.m.82137
c104773_g3	6055.m.82139
c104774_g2	6055.m.82157
c104776_g1	6055.m.82167
c104777_g1	6055.m.82178
c104778_g1	6055.m.82187
c104779_g1	6055.m.82194
c104780_g1	6055.m.82210
c104781_g1	6055.m.82229
c104782_g1	6055.m.82238
c104782_g2	6055.m.82239
c104784_g1	6055.m.82258
c104785_g1	6055.m.82269
c104785_g2	6055.m.82270
c104786_g1	6055.m.82283
c104787_g1	6055.m.82292
c104787_g2	6055.m.82293
c104788_g1	6055.m.82315
c104788_g2	6055.m.82304
c104788_g3	6055.m.82313
c104788_g4	6055.m.82308
c104788_g5	6055.m.82319
c104789_g1	6055.m.82331
c104790_g1	6055.m.82346
c104791_g1	6055.m.82402
c104792_g1	6055.m.82407
c104792_g2	6055.m.82412
c104792_g4	6055.m.82411
c104793_g1	6055.m.82421
c104794_g1	6055.m.82425
c104794_g2	6055.m.82442
c104794_g3	6055.m.82464
c104794_g5	6055.m.82465
c104795_g1	6055.m.82469
c104795_g2	6055.m.82474
c104795_g3	6055.m.82482
c104795_g4	6055.m.82489
c104795_g5	6055.m.82486
c104795_g6	6055.m.82491
c104795_g7	6055.m.82493
c104795_g8	6055.m.82494
c104797_g2	6055.m.82498
c104797_g3	6055.m.82502
c104798_g1	6055.m.82509
c104799_g1	6055.m.82523
c104799_g2	6055.m.82529
c104800_g1	6055.m.82539
c104801_g1	6055.m.82571
c104802_g1	6055.m.82579
c104802_g2	6055.m.82588
c104803_g1	6055.m.82607
c104803_g2	6055.m.82606
c104804_g1	6055.m.82623
c104804_g2	6055.m.82628
c104804_g3	6055.m.82625
c104804_g4	6055.m.82627
c104804_g5	6055.m.82629
c104804_g6	6055.m.82632
c104804_g7	6055.m.82631
c104805_g1	6055.m.82634
c104805_g2	6055.m.82635
c104805_g3	6055.m.82638
c104805_g4	6055.m.82649
c104806_g1	6055.m.82653
c104806_g2	6055.m.82656
c104807_g1	6055.m.82659
c104807_g2	6055.m.82668
c104809_g1	6055.m.82679
c104809_g2	6055.m.82681
c104809_g3	6055.m.82682
c104809_g4	6055.m.82684
c104809_g5	6055.m.82686
c104810_g1	6055.m.82687
c104811_g1	6055.m.82704
c104811_g2	6055.m.82707
c104812_g2	6055.m.82713
c104812_g3	6055.m.82729
c104812_g4	6055.m.82730
c104813_g1	6055.m.82738
c104813_g2	6055.m.82734
c104814_g1	6055.m.82740
c104815_g1	6055.m.82754
c104817_g1	6055.m.82773
c104817_g2	6055.m.82775
c104817_g3	6055.m.82790
c104818_g1	6055.m.82796
c104819_g1	6055.m.82811
c104820_g1	6055.m.82827
c104821_g1	6055.m.82838
c104822_g1	6055.m.82852
c104823_g1	6055.m.82859
c104824_g1	6055.m.82874
c104825_g1	6055.m.82920
c104826_g1	6055.m.82938
c104826_g2	6055.m.82940
c104826_g3	6055.m.82946
c104826_g4	6055.m.82955
c104827_g1	6055.m.82957
c104827_g2	6055.m.82982
c104828_g1	6055.m.82993
c104829_g1	6055.m.83001
c104830_g2	6055.m.83009
c104831_g1	6055.m.83026
c104831_g2	6055.m.83033
c104831_g3	6055.m.83035
c104832_g1	6055.m.83040
c104832_g3	6055.m.83044
c104833_g1	6055.m.83051
c104833_g2	6055.m.83052
c104833_g3	6055.m.83053
c104833_g4	6055.m.83054
c104833_g5	6055.m.83060
c104833_g6	6055.m.83066
c104834_g2	6055.m.83074
c104834_g3	6055.m.83076
c104835_g1	6055.m.83085
c104835_g2	6055.m.83127
c104835_g3	6055.m.83128
c104835_g4	6055.m.83131
c104836_g1	6055.m.83132
c104836_g3	6055.m.83160
c104836_g4	6055.m.83163
c104836_g5	6055.m.83164
c104837_g2	6055.m.83166
c104837_g4	6055.m.83167
c104838_g1	6055.m.83172
c104839_g1	6055.m.83180
c104839_g2	6055.m.83223
c104840_g1	6055.m.83227
c104841_g1	6055.m.83234
c104841_g2	6055.m.83237
c104842_g1	6055.m.83238
c104843_g1	6055.m.83251
c104844_g1	6055.m.83254
c104845_g1	6055.m.83264
c104845_g2	6055.m.83269
c104846_g1	6055.m.83279
c104847_g2	6055.m.83281
c104847_g3	6055.m.83285
c104848_g1	6055.m.83287
c104848_g2	6055.m.83302
c104848_g3	6055.m.83294
c104848_g4	6055.m.83310
c104849_g1	6055.m.83327
c104849_g2	6055.m.83319
c104849_g3	6055.m.83320
c104849_g4	6055.m.83325
c104850_g1	6055.m.83335
c104851_g1	6055.m.83352
c104852_g1	6055.m.83374
c104852_g3	6055.m.83391
c104853_g1	6055.m.83396
c104853_g2	6055.m.83432
c104854_g1	6055.m.83433
c104854_g2	6055.m.83438
c104855_g1	6055.m.83446
c104856_g1	6055.m.83453
c104856_g2	6055.m.83455
c104856_g4	6055.m.83462
c104857_g1	6055.m.83468
c104857_g2	6055.m.83464
c104857_g3	6055.m.83466
c104858_g2	6055.m.83475
c104858_g3	6055.m.83481
c104859_g3	6055.m.83498
c104860_g1	6055.m.83503
c104860_g2	6055.m.83516
c104861_g1	6055.m.83538
c104862_g1	6055.m.83542
c104863_g1	6055.m.83543
c104863_g2	6055.m.83556
c104864_g1	6055.m.83564
c104865_g1	6055.m.83601
c104866_g1	6055.m.83605
c104867_g1	6055.m.83620
c104868_g1	6055.m.83641
c104869_g1	6055.m.83657
c104869_g2	6055.m.83654
c104869_g3	6055.m.83655
c104869_g4	6055.m.83660
c104870_g1	6055.m.83665
c104870_g2	6055.m.83675
c104871_g1	6055.m.83689
c104872_g1	6055.m.83696
c104872_g2	6055.m.83721
c104873_g1	6055.m.83754
c104874_g1	6055.m.83757
c104875_g2	6055.m.83763
c104876_g1	6055.m.83772
c104876_g2	6055.m.83774
c104877_g1	6055.m.83787
c104878_g1	6055.m.83798
c104879_g1	6055.m.83807
c104880_g1	6055.m.83821
c104881_g1	6055.m.83831
c104881_g2	6055.m.83839
c104882_g1	6055.m.83851
c104882_g2	6055.m.83865
c104882_g3	6055.m.83853
c104882_g4	6055.m.83855
c104883_g1	6055.m.83883
c104884_g2	6055.m.83896
c104886_g2	6055.m.83907
c104886_g3	6055.m.83910
c104887_g1	6055.m.83911
c104888_g1	6055.m.83913
c104888_g2	6055.m.83923
c104888_g3	6055.m.83930
c104890_g1	6055.m.83938
c104890_g2	6055.m.83942
c104891_g1	6055.m.83950
c104892_g1	6055.m.83957
c104893_g2	6055.m.83974
c104893_g3	6055.m.83976
c104894_g1	6055.m.83979
c104895_g1	6055.m.84016
c104895_g2	6055.m.84020
c104896_g1	6055.m.84022
c104897_g1	6055.m.84026
c104897_g2	6055.m.84029
c104897_g3	6055.m.84031
c104898_g1	6055.m.84058
c104899_g1	6055.m.84069
c104899_g2	6055.m.84072
c104899_g3	6055.m.84073
c104900_g1	6055.m.84074
c104900_g2	6055.m.84080
c104901_g1	6055.m.84091
c104901_g2	6055.m.84095
c104902_g1	6055.m.84096
c104902_g2	6055.m.84097
c104902_g3	6055.m.84101
c104902_g5	6055.m.84103
c104903_g1	6055.m.84105
c104904_g1	6055.m.84108
c104904_g2	6055.m.84126
c104905_g1	6055.m.84148
c104905_g2	6055.m.84149
c104906_g1	6055.m.84165
c104906_g2	6055.m.84156
c104907_g1	6055.m.84170
c104908_g1	6055.m.84182
c104909_g1	6055.m.84191
c104909_g2	6055.m.84194
c104910_g1	6055.m.84198
c104911_g1	6055.m.84227
c104911_g2	6055.m.84239
c104912_g1	6055.m.84242
c104913_g1	6055.m.84256
c104913_g2	6055.m.84257
c104914_g1	6055.m.84262
c104914_g2	6055.m.84265
c104915_g1	6055.m.84268
c104915_g2	6055.m.84269
c104916_g1	6055.m.84284
c104917_g1	6055.m.84299
c104917_g2	6055.m.84303
c104918_g1	6055.m.84307
c104919_g1	6055.m.84314
c104919_g2	6055.m.84319
c104919_g3	6055.m.84321
c104920_g1	6055.m.84328
c104921_g1	6055.m.84335
c104922_g1	6055.m.84358
c104923_g1	6055.m.84383
c104923_g3	6055.m.84391
c104924_g1	6055.m.84394
c104925_g1	6055.m.84397
c104925_g2	6055.m.84400
c104925_g3	6055.m.84422
c104925_g4	6055.m.84425
c104926_g1	6055.m.84430
c104926_g2	6055.m.84444
c104926_g3	6055.m.84446
c104927_g1	6055.m.84448
c104927_g2	6055.m.84452
c104927_g3	6055.m.84453
c104927_g4	6055.m.84454
c104928_g1	6055.m.84456
c104929_g1	6055.m.84473
c104930_g1	6055.m.84475
c104930_g2	6055.m.84477
c104930_g3	6055.m.84476
c104931_g1	6055.m.84490
c104932_g1	6055.m.84502
c104933_g1	6055.m.84507
c104933_g2	6055.m.84505
c104934_g1	6055.m.84508
c104935_g1	6055.m.84569
c104936_g2	6055.m.84579
c104936_g3	6055.m.84580
c104937_g1	6055.m.84581
c104938_g1	6055.m.84608
c104939_g1	6055.m.84610
c104939_g3	6055.m.84616
c104940_g1	6055.m.84618
c104940_g2	6055.m.84623
c104940_g3	6055.m.84620
c104941_g1	6055.m.84627
c104941_g2	6055.m.84637
c104942_g1	6055.m.84644
c104943_g1	6055.m.84663
c104944_g2	6055.m.84692
c104945_g1	6055.m.84704
c104945_g2	6055.m.84705
c104946_g1	6055.m.84711
c104947_g1	6055.m.84731
c104948_g1	6055.m.84752
c104948_g2	6055.m.84765
c104948_g3	6055.m.84767
c104948_g4	6055.m.84771
c104949_g1	6055.m.84772
c104949_g2	6055.m.84775
c104950_g1	6055.m.84780
c104951_g1	6055.m.84801
c104952_g1	6055.m.84807
c104952_g2	6055.m.84815
c104952_g3	6055.m.84817
c104953_g1	6055.m.84825
c104954_g1	6055.m.84837
c104955_g1	6055.m.84846
c104955_g2	6055.m.84867
c104956_g1	6055.m.84869
c104957_g1	6055.m.84888
c104957_g2	6055.m.84894
c104958_g1	6055.m.84896
c104959_g1	6055.m.84920
c104960_g1	6055.m.84936
c104960_g2	6055.m.84933
c104961_g1	6055.m.84940
c104961_g2	6055.m.84946
c104962_g1	6055.m.84971
c104962_g2	6055.m.84973
c104963_g1	6055.m.84974
c104963_g2	6055.m.84986
c104964_g1	6055.m.84990
c104965_g1	6055.m.84999
c104965_g2	6055.m.85002
c104966_g1	6055.m.85012
c104966_g2	6055.m.85028
c104967_g1	6055.m.85029
c104968_g1	6055.m.85030
c104969_g1	6055.m.85057
c104969_g2	6055.m.85046
c104969_g3	6055.m.85052
c104970_g1	6055.m.85063
c104970_g2	6055.m.85064
c104970_g3	6055.m.85067
c104971_g1	6055.m.85072
c104972_g1	6055.m.85096
c104973_g1	6055.m.85101
c104974_g1	6055.m.85122
c104975_g1	6055.m.85128
c104976_g1	6055.m.85129
c104977_g1	6055.m.85136
c104978_g1	6055.m.85148
c104978_g2	6055.m.85159
c104979_g1	6055.m.85173
c104980_g1	6055.m.85184
c104981_g1	6055.m.85201
c104982_g1	6055.m.85202
c104983_g1	6055.m.85207
c104984_g1	6055.m.85208
c104985_g1	6055.m.85209
c104986_g1	6055.m.85212
c104988_g1	6055.m.85214
c104992_g1	6055.m.85215
c104993_g1	6055.m.85218
c104994_g1	6055.m.85219
c104995_g1	6055.m.85220
c104996_g1	6055.m.85221
c104997_g1	6055.m.85224
c104999_g1	6055.m.85226
c105000_g1	6055.m.85227
c105003_g1	6055.m.85228
c105004_g1	6055.m.85229
c105005_g1	6055.m.85231
c105006_g1	6055.m.85234
c105009_g1	6055.m.85237
c105010_g1	6055.m.85238
c105011_g1	6055.m.85239
c105012_g1	6055.m.85241
c105013_g1	6055.m.85243
c105015_g1	6055.m.85244
c105017_g1	6055.m.85247
c105025_g1	6055.m.85251
c105026_g1	6055.m.85252
c105028_g1	6055.m.85253
c105029_g1	6055.m.85254
c105031_g1	6055.m.85257
c105032_g1	6055.m.85258
c105034_g1	6055.m.85259
c105036_g1	6055.m.85261
c105037_g1	6055.m.85262
c105038_g1	6055.m.85263
c105041_g1	6055.m.85265
c105042_g1	6055.m.85266
c105047_g1	6055.m.85268
c105048_g1	6055.m.85270
c105049_g1	6055.m.85272
c105051_g1	6055.m.85274
c105052_g1	6055.m.85276
c105053_g1	6055.m.85278
c105054_g1	6055.m.85279
c105055_g1	6055.m.85281
c105057_g1	6055.m.85282
c105058_g1	6055.m.85283
c105059_g1	6055.m.85287
c105060_g1	6055.m.85288
c105061_g1	6055.m.85291
c105063_g1	6055.m.85294
c105064_g1	6055.m.85295
c105066_g1	6055.m.85297
c105067_g1	6055.m.85299
c105069_g1	6055.m.85304
c105071_g1	6055.m.85305
c105074_g1	6055.m.85308
c105075_g1	6055.m.85310
c105077_g1	6055.m.85312
c105080_g1	6055.m.85315
c105081_g1	6055.m.85316
c105082_g1	6055.m.85317
c105088_g1	6055.m.85319
c105089_g1	6055.m.85320
c105092_g1	6055.m.85321
c105093_g1	6055.m.85323
c105095_g1	6055.m.85325
c105097_g1	6055.m.85327
c105098_g1	6055.m.85329
c105099_g1	6055.m.85330
c105101_g1	6055.m.85334
c105102_g1	6055.m.85335
c105105_g1	6055.m.85337
c105107_g1	6055.m.85339
c105108_g1	6055.m.85342
c105111_g1	6055.m.85343
c105112_g1	6055.m.85346
c105113_g1	6055.m.85350
c105116_g1	6055.m.85354
c105117_g1	6055.m.85355
c105120_g1	6055.m.85357
c105122_g1	6055.m.85360
c105125_g1	6055.m.85361
c105132_g1	6055.m.85362
c105134_g1	6055.m.85364
c105135_g1	6055.m.85365
c105136_g1	6055.m.85366
c105138_g1	6055.m.85367
c105139_g1	6055.m.85369
c105142_g1	6055.m.85371
c105143_g1	6055.m.85372
c105144_g1	6055.m.85373
c105145_g1	6055.m.85376
c105149_g1	6055.m.85378
c105150_g1	6055.m.85379
c105153_g1	6055.m.85380
c105155_g1	6055.m.85385
c105157_g1	6055.m.85386
c105158_g1	6055.m.85387
c105159_g1	6055.m.85388
c105160_g1	6055.m.85390
c105164_g1	6055.m.85391
c105165_g1	6055.m.85392
c105166_g1	6055.m.85393
c105168_g1	6055.m.85395
c105169_g1	6055.m.85396
c105171_g1	6055.m.85397
c105172_g1	6055.m.85398
c105177_g1	6055.m.85401
c105180_g1	6055.m.85402
c105181_g1	6055.m.85403
c105183_g1	6055.m.85404
c105186_g1	6055.m.85406
c105187_g1	6055.m.85407
c105189_g1	6055.m.85408
c105190_g1	6055.m.85410
c105191_g1	6055.m.85413
c105192_g1	6055.m.85414
c105193_g1	6055.m.85415
c105197_g1	6055.m.85416
c105198_g1	6055.m.85418
c105199_g1	6055.m.85419
c105200_g1	6055.m.85421
c105206_g1	6055.m.85424
c105209_g1	6055.m.85426
c105210_g1	6055.m.85427
c105211_g1	6055.m.85428
c105212_g1	6055.m.85430
c105216_g1	6055.m.85435
c105220_g1	6055.m.85437
c105221_g1	6055.m.85438
c105223_g1	6055.m.85439
c105224_g1	6055.m.85440
c105226_g1	6055.m.85444
c105228_g1	6055.m.85445
c105230_g1	6055.m.85446
c105232_g1	6055.m.85447
c105234_g1	6055.m.85450
c105235_g1	6055.m.85451
c105237_g1	6055.m.85452
c105240_g1	6055.m.85453
c105243_g1	6055.m.85455
c105244_g1	6055.m.85457
c105247_g1	6055.m.85459
c105248_g1	6055.m.85460
c105249_g1	6055.m.85463
c105251_g1	6055.m.85464
c105252_g1	6055.m.85465
c105256_g1	6055.m.85467
c105258_g1	6055.m.85468
c105259_g1	6055.m.85470
c105260_g1	6055.m.85471
c105261_g1	6055.m.85472
c105266_g1	6055.m.85473
c105267_g1	6055.m.85474
c105268_g1	6055.m.85476
c105269_g1	6055.m.85478
c105271_g1	6055.m.85480
c105273_g1	6055.m.85481
c105274_g1	6055.m.85483
c105275_g1	6055.m.85484
c105277_g1	6055.m.85485
c105280_g1	6055.m.85486
c105281_g1	6055.m.85487
c105282_g1	6055.m.85488
c105287_g1	6055.m.85490
c105288_g1	6055.m.85491
c105291_g1	6055.m.85494
c105294_g1	6055.m.85497
c105299_g1	6055.m.85500
c105300_g1	6055.m.85502
c105301_g1	6055.m.85505
c105303_g1	6055.m.85506
c105304_g1	6055.m.85510
c105307_g1	6055.m.85511
c105308_g1	6055.m.85513
c105309_g1	6055.m.85514
c105310_g1	6055.m.85516
c105315_g1	6055.m.85517
c105318_g1	6055.m.85518
c105319_g1	6055.m.85519
c105324_g1	6055.m.85522
c105325_g1	6055.m.85523
c105327_g1	6055.m.85525
c105328_g1	6055.m.85527
c105330_g1	6055.m.85531
c105333_g1	6055.m.85534
c105335_g1	6055.m.85536
c105337_g1	6055.m.85539
c105339_g1	6055.m.85540
c105341_g1	6055.m.85541
c105342_g1	6055.m.85542
c105343_g1	6055.m.85543
c105344_g1	6055.m.85545
c105345_g1	6055.m.85547
c105347_g1	6055.m.85550
c105351_g1	6055.m.85551
c105352_g1	6055.m.85554
c105354_g1	6055.m.85556
c105355_g1	6055.m.85557
c105357_g1	6055.m.85560
c105358_g1	6055.m.85562
c105362_g1	6055.m.85563
c105363_g1	6055.m.85564
c105366_g1	6055.m.85566
c105368_g1	6055.m.85567
c105370_g1	6055.m.85568
c105371_g1	6055.m.85569
c105373_g1	6055.m.85570
c105375_g1	6055.m.85571
c105383_g1	6055.m.85572
c105384_g1	6055.m.85574
c105387_g1	6055.m.85575
c105389_g1	6055.m.85576
c105390_g1	6055.m.85577
c105391_g1	6055.m.85578
c105393_g1	6055.m.85580
c105396_g1	6055.m.85582
c105400_g1	6055.m.85586
c105403_g1	6055.m.85588
c105404_g1	6055.m.85589
c105405_g1	6055.m.85590
c105407_g1	6055.m.85592
c105408_g1	6055.m.85593
c105410_g1	6055.m.85594
c105411_g1	6055.m.85596
c105413_g1	6055.m.85597
c105414_g1	6055.m.85599
c105416_g1	6055.m.85601
c105417_g1	6055.m.85604
c105420_g1	6055.m.85605
c105421_g1	6055.m.85607
c105422_g1	6055.m.85608
c105423_g1	6055.m.85609
c105424_g1	6055.m.85610
c105429_g1	6055.m.85614
c105431_g1	6055.m.85615
c105433_g1	6055.m.85616
c105434_g1	6055.m.85619
c105435_g1	6055.m.85622
c105437_g1	6055.m.85624
c105438_g1	6055.m.85625
c105439_g1	6055.m.85627
c105440_g1	6055.m.85628
c105442_g1	6055.m.85629
c105449_g1	6055.m.85631
c105451_g1	6055.m.85632
c105453_g1	6055.m.85636
c105454_g1	6055.m.85637
c105456_g1	6055.m.85638
c105457_g1	6055.m.85639
c105461_g1	6055.m.85641
c105469_g1	6055.m.85642
c105473_g1	6055.m.85644
c105474_g1	6055.m.85646
c105476_g1	6055.m.85647
c105477_g1	6055.m.85648
c105479_g1	6055.m.85649
c105481_g1	6055.m.85650
c105484_g1	6055.m.85651
c105486_g1	6055.m.85653
c105487_g1	6055.m.85654
c105488_g1	6055.m.85656
c105492_g1	6055.m.85659
c105495_g1	6055.m.85661
c105496_g1	6055.m.85663
c105497_g1	6055.m.85666
c105498_g1	6055.m.85667
c105499_g1	6055.m.85669
c105501_g1	6055.m.85670
c105502_g1	6055.m.85672
c105503_g1	6055.m.85673
c105504_g1	6055.m.85675
c105505_g1	6055.m.85676
c105508_g1	6055.m.85679
c105509_g1	6055.m.85680
c105510_g1	6055.m.85681
c105514_g1	6055.m.85683
c105515_g1	6055.m.85685
c105516_g1	6055.m.85686
c105519_g1	6055.m.85688
c105521_g1	6055.m.85689
c105522_g1	6055.m.85690
c105526_g1	6055.m.85691
c105527_g1	6055.m.85692
c105528_g1	6055.m.85694
c105530_g1	6055.m.85696
c105532_g1	6055.m.85700
c105542_g1	6055.m.85702
c105543_g1	6055.m.85703
c105546_g1	6055.m.85704
c105547_g1	6055.m.85705
c105548_g1	6055.m.85706
c105550_g1	6055.m.85707
c105554_g1	6055.m.85710
c105556_g1	6055.m.85711
c105557_g1	6055.m.85712
c105559_g1	6055.m.85713
c105562_g1	6055.m.85714
c105563_g1	6055.m.85715
c105564_g1	6055.m.85716
c105567_g1	6055.m.85718
c105569_g1	6055.m.85719
c105570_g1	6055.m.85720
c105572_g1	6055.m.85722
c105576_g1	6055.m.85724
c105578_g1	6055.m.85725
c105579_g1	6055.m.85728
c105581_g1	6055.m.85729
c105582_g1	6055.m.85730
c105583_g1	6055.m.85732
c105585_g1	6055.m.85735
c105587_g1	6055.m.85736
c105592_g1	6055.m.85738
c105593_g1	6055.m.85740
c105595_g1	6055.m.85741
c105596_g1	6055.m.85743
c105597_g1	6055.m.85746
c105599_g1	6055.m.85748
c105600_g1	6055.m.85749
c105603_g1	6055.m.85752
c105606_g1	6055.m.85753
c105607_g1	6055.m.85754
c105610_g1	6055.m.85756
c105611_g1	6055.m.85758
c105614_g1	6055.m.85761
c105617_g1	6055.m.85762
c105619_g1	6055.m.85766
c105620_g1	6055.m.85767
c105622_g1	6055.m.85768
c105624_g1	6055.m.85769
c105626_g1	6055.m.85772
c105631_g1	6055.m.85773
c105632_g1	6055.m.85777
c105637_g1	6055.m.85780
c105638_g1	6055.m.85781
c105639_g1	6055.m.85782
c105640_g1	6055.m.85784
c105641_g1	6055.m.85785
c105642_g1	6055.m.85788
c105643_g1	6055.m.85789
c105646_g1	6055.m.85793
c105647_g1	6055.m.85795
c105649_g1	6055.m.85796
c105651_g1	6055.m.85798
c105653_g1	6055.m.85799
c105656_g1	6055.m.85802
c105657_g1	6055.m.85804
c105658_g1	6055.m.85805
c105659_g1	6055.m.85806
c105668_g1	6055.m.85809
c105669_g1	6055.m.85811
c105673_g1	6055.m.85815
c105676_g1	6055.m.85816
c105677_g1	6055.m.85818
c105679_g1	6055.m.85819
c105680_g1	6055.m.85822
c105681_g1	6055.m.85824
c105682_g1	6055.m.85825
c105685_g1	6055.m.85827
c105687_g1	6055.m.85828
c105691_g1	6055.m.85830
c105693_g1	6055.m.85831
c105694_g1	6055.m.85832
c105695_g1	6055.m.85833
c105696_g1	6055.m.85834
c105697_g1	6055.m.85835
c105698_g1	6055.m.85837
c105700_g1	6055.m.85838
c105701_g1	6055.m.85841
c105702_g1	6055.m.85842
c105707_g1	6055.m.85844
c105711_g1	6055.m.85845
c105712_g1	6055.m.85848
c105716_g1	6055.m.85850
c105720_g1	6055.m.85852
c105721_g1	6055.m.85853
c105722_g1	6055.m.85855
c105725_g1	6055.m.85857
c105729_g1	6055.m.85858
c105732_g1	6055.m.85860
c105734_g1	6055.m.85862
c105735_g1	6055.m.85863
c105738_g1	6055.m.85865
c105739_g1	6055.m.85866
c105744_g1	6055.m.85872
c105745_g1	6055.m.85874
c105746_g1	6055.m.85875
c105749_g1	6055.m.85876
c105750_g1	6055.m.85877
c105751_g1	6055.m.85879
c105753_g1	6055.m.85886
c105754_g1	6055.m.85887
c105755_g1	6055.m.85889
c105757_g1	6055.m.85891
c105759_g1	6055.m.85893
c10576_g1	6055.m.1073
c105761_g1	6055.m.85894
c105765_g1	6055.m.85895
c105766_g1	6055.m.85896
c105768_g1	6055.m.85898
c105769_g1	6055.m.85899
c105771_g1	6055.m.85900
c105772_g1	6055.m.85901
c105773_g1	6055.m.85903
c105776_g1	6055.m.85904
c105778_g1	6055.m.85907
c105779_g1	6055.m.85908
c105784_g1	6055.m.85913
c105786_g1	6055.m.85915
c105788_g1	6055.m.85916
c105789_g1	6055.m.85918
c105791_g1	6055.m.85919
c105792_g1	6055.m.85921
c105793_g1	6055.m.85922
c105796_g1	6055.m.85923
c105797_g1	6055.m.85924
c105799_g1	6055.m.85926
c105800_g1	6055.m.85927
c105801_g1	6055.m.85928
c105804_g1	6055.m.85930
c105805_g1	6055.m.85931
c105808_g1	6055.m.85933
c105809_g1	6055.m.85934
c105811_g1	6055.m.85937
c105814_g1	6055.m.85939
c105817_g1	6055.m.85943
c105818_g1	6055.m.85945
c105819_g1	6055.m.85946
c105820_g1	6055.m.85947
c105822_g1	6055.m.85948
c105823_g1	6055.m.85949
c105824_g1	6055.m.85950
c105826_g1	6055.m.85951
c105827_g1	6055.m.85952
c105829_g1	6055.m.85953
c105832_g1	6055.m.85955
c105833_g1	6055.m.85956
c105834_g1	6055.m.85957
c105838_g1	6055.m.85959
c105839_g1	6055.m.85960
c105844_g1	6055.m.85961
c105845_g1	6055.m.85963
c105846_g1	6055.m.85964
c105847_g1	6055.m.85965
c105849_g1	6055.m.85966
c105850_g1	6055.m.85967
c105851_g1	6055.m.85969
c105853_g1	6055.m.85972
c105855_g1	6055.m.85974
c105857_g1	6055.m.85976
c105859_g1	6055.m.85977
c105860_g1	6055.m.85980
c105862_g1	6055.m.85983
c105864_g1	6055.m.85984
c105866_g1	6055.m.85988
c105867_g1	6055.m.85990
c105868_g1	6055.m.85992
c105871_g1	6055.m.85994
c105872_g1	6055.m.85995
c105878_g1	6055.m.86002
c105880_g1	6055.m.86004
c105881_g1	6055.m.86005
c105885_g1	6055.m.86006
c105886_g1	6055.m.86007
c105888_g1	6055.m.86008
c105890_g1	6055.m.86009
c105893_g1	6055.m.86010
c105894_g1	6055.m.86013
c105898_g1	6055.m.86016
c105899_g1	6055.m.86017
c105900_g1	6055.m.86019
c105901_g1	6055.m.86023
c105902_g1	6055.m.86027
c105903_g1	6055.m.86030
c105908_g1	6055.m.86032
c105910_g1	6055.m.86033
c105915_g1	6055.m.86034
c105918_g1	6055.m.86036
c105925_g1	6055.m.86044
c105929_g1	6055.m.86048
c10593_g1	6055.m.1074
c105932_g1	6055.m.86049
c105933_g1	6055.m.86050
c105934_g1	6055.m.86051
c105937_g1	6055.m.86052
c105941_g1	6055.m.86054
c105944_g1	6055.m.86056
c105948_g1	6055.m.86058
c105951_g1	6055.m.86059
c105952_g1	6055.m.86060
c105954_g1	6055.m.86061
c105955_g1	6055.m.86063
c105956_g1	6055.m.86065
c105957_g1	6055.m.86066
c10596_g1	6055.m.1075
c105960_g1	6055.m.86067
c105961_g1	6055.m.86071
c105962_g1	6055.m.86072
c105966_g1	6055.m.86073
c105967_g1	6055.m.86074
c105968_g1	6055.m.86075
c105975_g1	6055.m.86079
c105977_g1	6055.m.86080
c105980_g1	6055.m.86082
c105987_g1	6055.m.86084
c105989_g1	6055.m.86085
c105991_g1	6055.m.86086
c105992_g1	6055.m.86087
c105993_g1	6055.m.86088
c105997_g1	6055.m.86089
c105998_g1	6055.m.86092
c106002_g1	6055.m.86094
c106003_g1	6055.m.86096
c106004_g1	6055.m.86097
c106006_g1	6055.m.86098
c106008_g1	6055.m.86100
c106010_g1	6055.m.86102
c106011_g1	6055.m.86105
c106013_g1	6055.m.86106
c106014_g1	6055.m.86108
c106015_g1	6055.m.86110
c106017_g1	6055.m.86111
